Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
HNRNPC_s_25727	0.43733767	53.8704345457	54.6429326511	44	48.93521727285	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
PSMF1_s_44829	0.435944114	84.4160565506	85.1084220299	0	64.4160565506	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AQR_s_3153	0.434249883	52.8446579497	53.6201640614	0	32.8446579497	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANAPC10_s_2301	0.433079917	46.2549254495	46.9775269638	0	26.2549254495	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PSMA2_s_44674	0.431030503	6.01414576934	5.91604379751	0	-13.98585423066	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RPL13_s_48119	0.430126784	40.470040989	41.1230080319	0	20.470040989	9_TxReg	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1
POLR1B_s_43033	0.430118884	42.9136391306	43.5949761765	0	22.9136391306	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RB1_s_46308	0.429479081	45.1555182917	45.8573866783	43	44.07775914585	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DCP2_s_15209	0.42788055	72.7528944332	73.555756818	0	52.7528944332	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1
RPS3A_s_48317	0.42781119	18.9000471575	19.1546439568	0	-1.0999528425	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
PSME3_s_44824	0.427619276	77.924436682	78.6759644078	63	70.462218341	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1
RPA2_s_48050	0.42699016	47.777791297	48.5081134545	0	27.777791297	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPL10A_s_48108	0.426048517	24.2938453036	24.6774699746	0	4.2938453036	9_TxReg	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1
CDC20_s_10590	0.422959062	9.75429809648	9.73552355027	0	-10.24570190352	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
CNOT8_s_12704	0.422515126	37.9261548513	38.5488764213	60	48.96307742565	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ZBTB17_s_62583	-0.382577737	49.2021389365	49.937341204	0	29.2021389365	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB3_s_56346	-0.382648574	10.2674997944	10.2664955773	0	-9.7325002056	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK1_s_42595	-0.38493043	27.4945440749	27.9670018955	0	7.4945440749	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0
ORC1_s_39580	-0.387234641	37.6911048603	38.3114826176	0	17.6911048603	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM2_s_33161	-0.387274491	11.6358778831	11.6791898909	0	-8.3641221169	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA2B_s_58635	-0.390224367	13.4723649421	13.5661231361	0	-6.5276350579	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PSME1_s_44817	-0.396189002	6.07317557884	5.97387424493	0	-13.92682442116	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0
PPIH_s_43418	-0.397981299	4.9326577167	4.82019156839	0	-15.0673422833	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0
DCPS_s_15213	-0.400695436	42.5182020869	43.1979908217	0	22.5182020869	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EIF5_s_17892	-0.402359776	25.4209422721	25.8451621776	51	38.21047113605	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
RFC2_s_46877	-0.405035872	26.1768261725	26.617807681	0	6.1768261725	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPL29_s_48159	-0.40582397	81.2351572844	81.9660084262	0	61.2351572844	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CDKN2A_s_10960	-0.410221402	23.223860874	23.5761675642	0	3.223860874	3_PromD1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0
PSMB5_s_44729	-0.410582703	20.8373015302	21.131157699	0	0.837301530200001	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2IRD1_s_24422	-0.410978126	30.6703552002	31.1863764488	0	10.6703552002	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NHP2L1_s_36998	-0.411362559	47.2025364014	47.9371978167	0	27.2025364014	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
EDC3_s_17400	-0.41155827	56.7656973758	57.5355157956	31	43.8828486879	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC10_s_2300	-0.412754014	43.8261124133	44.5119966172	12	27.91305620665	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GTF2IRD1_s_24421	-0.416117558	40.4969565174	41.1494176353	0	20.4969565174	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3_s_48313	-0.417038216	52.6665730154	53.4414785866	0	32.6665730154	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
SRSF7_s_53967	-0.41757656	56.3308456748	57.0994647117	0	36.3308456748	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CNOT6_s_12694	-0.42065437	24.0999428875	24.4766179906	0	4.0999428875	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT1_s_12679	-0.421064975	18.9049509455	19.1606062357	0	-1.0950490545	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CCND3_s_10041	-0.421086184	24.2355529058	24.6153232762	0	4.2355529058	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
MAD1L1_s_32316	-0.42597489	14.6525555557	14.7794286015	21	17.82627777785	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSK3B_s_24286	-0.427762732	9.6034605258	9.58138218061	0	-10.3965394742	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPS3A_s_48318	-0.42781119	21.0109619942	21.3110136825	55	38.0054809971	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0
RPL13_s_48118	-0.430126784	22.9338368381	23.2842719472	0	2.9338368381	3_PromD1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0
PSMA2_s_44673	-0.431030503	14.0153580742	14.130162035	0	-5.9846419258	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AQR_s_3155	-0.434249883	5.87683970402	5.77997215652	0	-14.12316029598	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DDX5_s_15447	-0.434576046	23.11240109	23.4613845509	0	3.11240109	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0
ACIN1_s_622	-0.434964475	64.9210287336	65.7425744023	0	44.9210287336	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VARS2_s_61117	-0.435288295	14.8706819473	15.0047515339	0	-5.1293180527	3_PromD1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0
AARS_s_71	-0.436256339	10.122266553	10.1231448351	0	-9.877733447	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
HNRNPC_s_25728	-0.43733767	43.7713227212	44.4583726856	0	23.7713227212	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CDKN1B_s_10949	-0.437518396	56.1698318222	56.9436407358	0	36.1698318222	9_TxReg	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
XRN1_s_62332	-0.437555692	75.1652263172	75.938546828	0	55.1652263172	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS5_s_48327	-0.440572486	91.9806104958	92.4908938078	85	88.4903052479	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0
CDC25A_s_10603	-0.443643965	34.2641681682	34.8424239188	50	42.1320840841	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSMB9_s_44743	-0.443681632	64.1323668815	64.9490060552	0	44.1323668815	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC7_s_19020	-0.44491946	67.3615297459	68.1709045179	37	52.18076487295	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA5_s_44683	-0.446295928	39.8322904488	40.473339103	50	44.9161452244	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHEK1_s_11630	-0.447943719	50.6896827618	51.43606791	48	49.3448413809	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACIN1_s_617	-0.447950779	58.2327411548	59.0209645431	0	38.2327411548	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MCM7_s_33185	-0.457922925	33.1598572223	33.7041407478	0	13.1598572223	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0
CRNKL1_s_13688	-0.462778661	49.0323130136	49.7682392695	0	29.0323130136	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIL1_s_43421	-0.463434923	1.23332112917	1.13564952627	0	-18.76667887083	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPL31_s_48165	-0.463477874	3.74085286829	3.60311852791	0	-16.25914713171	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
TAF9B_s_55305	-0.463810978	12.9460373152	13.0346755898	0	-7.0539626848	1_TssA	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0
RARS_s_46142	-0.464687481	42.4461200897	43.1211396073	62	52.22306004485	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TARS_s_55393	-0.466575217	66.3821732188	67.1739236989	0	46.3821732188	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
FARSA_s_20319	-0.466707529	82.090702381	82.8205163846	47	64.5453511905	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL8_s_48209	-0.468421444	95.9000644867	96.2296084575	71	83.45003224335	9_TxReg	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0
VARS_s_61114	-0.469626427	35.6547054796	36.2430839394	0	15.6547054796	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
POLR3GL_s_43127	-0.470096336	28.7962601426	29.2814466318	0	8.7962601426	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP2_s_48219	-0.470470363	54.7945589338	55.5653666948	49	51.8972794669	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0
PSMD14_s_44785	-0.471359713	9.70352729843	9.6865084968	0	-10.29647270157	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNOT8_s_12706	-0.47668302	14.8605056654	14.9939609065	0	-5.1394943346	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HDAC2_s_24896	-0.476836177	41.7803847741	42.4444392422	62	51.89019238705	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBX1_s_46567	-0.478624374	48.5881699247	49.3166789448	56	52.29408496235	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCBP2_s_36230	-0.478958918	75.289553936	76.0608284129	0	55.289553936	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RNASEH2C_s_47482	-0.480461968	47.2402181411	47.9741785772	0	27.2402181411	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0
TRA2A_s_58628	-0.481330423	19.4537327598	19.7123913713	0	-0.546267240199999	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDC23_s_10595	-0.48235116	65.9872892339	66.7808522328	77	71.49364461695	1_TssA	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
PRPF6_s_44334	-0.485616801	6.09935369548	5.99819887968	0	-13.90064630452	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM2_s_31949	-0.486172586	65.8781891675	66.6741896239	49	57.43909458375	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
RFC5_s_46889	-0.487230334	12.0984562654	12.1545627528	0	-7.9015437346	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3A3_s_50177	-0.48967949	6.89568462965	6.80533781248	0	-13.10431537035	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM_s_25756	-0.49143572	0.655853998375	0.593484509414	0	-19.344146001625	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
CDK1_s_10831	-0.492382352	63.4271062968	64.2520046791	0	43.4271062968	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPL28_s_48154	-0.492550448	17.3939942976	17.5960018348	34	25.6969971488	9_TxReg	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0
SNRPB_s_52829	-0.494596094	42.5430897331	43.2198647038	0	22.5430897331	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
SRSF4_s_53960	-0.494619313	70.2053212368	71.007120351	55	62.6026606184	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ANAPC2_s_2320	-0.49469665	27.9326772581	28.4045526937	0	7.9326772581	9_TxReg	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0
ACIN1_s_618	-0.496953727	58.7043159603	59.4912164293	0	38.7043159603	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S1_s_17794	-0.497204843	6.03792729784	5.9395637075	0	-13.96207270216	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF6_s_55280	-0.497606237	40.6306492652	41.2846479732	0	20.6306492652	2_PromU	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0
KARS_s_28412	-0.497682162	45.8192257251	46.5295879005	44	44.90961286255	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB5_s_44725	-0.49883505	37.7081022008	38.329808395	0	17.7081022008	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
TBPL1_s_55660	-0.499711958	18.1350193515	18.3552596444	0	-1.8649806485	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6_s_15482	-0.503113168	1.39547797001	1.28953484714	0	-18.60452202999	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HSPA9_s_26291	-0.503228394	1.15924812025	1.06552873709	0	-18.84075187975	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EIF3A_s_17800	-0.503588709	38.1978910762	38.8266161982	0	18.1978910762	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
USP39_s_60923	-0.511710086	24.1523359913	24.5292908839	0	4.1523359913	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
XAB2_s_62209	-0.513329242	68.9585792141	69.7658324109	69	68.97928960705	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TAF5_s_55274	-0.513903668	34.1404304788	34.7101564312	0	14.1404304788	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0
CNOT10_s_12681	-0.516089226	50.452383665	51.1932605033	0	30.452383665	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASEH2C_s_47480	-0.516272593	0.23313272047	0.202022492789	0	-19.76686727953	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0
SF3B3_s_50185	-0.516712453	37.5568590537	38.1757767606	0	17.5568590537	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
POLD4_s_42983	-0.518766534	71.8661568202	72.6751684618	0	51.8661568202	3_PromD1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0
CCNE1_s_10051	-0.522707277	16.0428716435	16.20708348	0	-3.9571283565	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL30_s_48162	-0.52524651	70.2389103414	71.0372243726	0	50.2389103414	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0
EXOSC9_s_19026	-0.528621435	9.03576410051	8.99726174112	0	-10.96423589949	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IARS_s_26498	-0.529083774	12.9089455049	12.9962316934	0	-7.0910544951	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RQCD1_s_48411	-0.530314676	17.855134727	18.0605840692	0	-2.144865273	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP1_s_48217	-0.532204546	64.7392936112	65.5623160564	0	44.7392936112	9_TxReg	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0
POLD2_s_42974	-0.532346102	54.6085099527	55.3824747042	0	34.6085099527	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3B2_s_50181	-0.53473519	88.4863481122	89.0959795219	0	68.4863481122	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
CDC6_s_10670	-0.538515951	38.3300721299	38.959176313	0	18.3300721299	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E2F5_s_17244	-0.539186166	80.6790013528	81.4165277297	60	70.3395006764	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD11_s_44776	-0.542929602	60.2498203481	61.0470420147	0	40.2498203481	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATR_s_4569	-0.546981963	33.397525025	33.9461800081	0	13.397525025	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0
LSM7_s_31969	-0.547000686	66.6493006203	67.4463596081	0	46.6493006203	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM25_s_46430	-0.548645442	8.74824726448	8.69801386614	0	-11.25175273552	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
POLE_s_42989	-0.5534111	5.2924409029	5.18992601653	0	-14.7075590971	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E2F2_s_17233	-0.553446175	97.5763857165	97.7875921684	0	77.5763857165	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
